,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dwelling,Dwelling Grade,Household m2,Size Grade,Bedrooms,Years,Old,Heating Source,Area Code,Occupants,Children,Teenagers,Adults,Elders,Ainc,Adec,Agauge,Fulltimers,Parttimers,Grads,PostGrads,Education Index,Income,Recycling,Energy Class,Thermostats,Water Heater,Smart Plugs,Awareness,Start,End,Days,Kwhs,Kwh/day,Kwh/day/m2,HDD,CDD,HID
,Semidetached,"0,7",360,1,4,6 - 15,"0,33",Yes,54634,4,0,1,3,0,"3,45","3,15","3,75",2,0,2,2,"0,9444","10,001€ - 20,000€",Often or Always,Sometimes,Sometimes,Yes,Rarely,Rarely,01/09/2021,30/09/2021,29,400,"13,79310345","0,03831417625","0,496","50,088","33,272"
,Semidetached,"0,7",100,"0,4",2,6 - 15,"0,33",Yes,54634,3,0,0,3,0,"2,7","2,25",3,2,0,0,0,"0,8333","20,001€ - 40,000€",Often or Always,Sometimes,Sometimes,Yes,Rarely,Rarely,01/01/2022,31/01/2022,30,350,"11,66666667","0,1166666667","268,999",0,0
,Appartment,0,107,"0,6",3,30+,1,No,59132,2,0,0,0,2,2,1,"1,5",0,0,0,0,"0,8333","0 - 10,000€",Often or Always,Rarely,Sometimes,Yes,Rarely,Rarely,30/07/2021,30/11/2021,123,1559,"12,67479675","0,1184560444","205,346","264,883","202,189"
,Appartment,0,107,"0,6",3,30+,1,No,59132,2,0,0,0,2,2,1,"1,5",0,0,0,0,"0,8333","0 - 10,000€",Often or Always,Rarely,Sometimes,Yes,Rarely,Rarely,14/02/2021,29/07/2021,165,1291,"7,824242424","0,07312376097","407,787","360,696","273,27"
,Appartment,0,49,0,2,6 - 15,"0,33",Yes,56224,5,3,2,2,0,"4,8","6,3",5,1,1,0,0,"0,8333","10,001€ - 20,000€",Sometimes,Sometimes,Often or Always,Yes,Rarely,Rarely,26/08/2021,29/12/2021,125,3896,"31,168","0,6360816327","308,721","101,388","72,021"
,Appartment,0,49,0,2,6 - 15,"0,33",Yes,56224,5,3,2,2,0,"4,8","6,3",5,1,1,0,0,"0,8333","10,001€ - 20,000€",Sometimes,Sometimes,Often or Always,Yes,Rarely,Rarely,26/04/2021,26/08/2021,122,1807,"14,81147541","0,3022750084","3,496","604,192","466,032"
,Family House,1,240,1,2,6 - 15,"0,33",Yes,55236,3,1,0,2,0,"2,3","2,5","2,5",1,1,2,2,"1,0000","20,001€ - 40,000€",Often or Always,Sometimes,Often or Always,Yes,Rarely,Rarely,13/09/2021,13/01/2022,122,1463,"11,99180328","0,04996584699","452,907","38,371","27,068"
,Family House,1,240,1,2,6 - 15,"0,33",Yes,55236,3,1,0,2,0,"2,3","2,5","2,5",1,1,2,2,"1,0000","20,001€ - 40,000€",Often or Always,Sometimes,Often or Always,Yes,Rarely,Rarely,10/09/2020,13/01/2021,125,1412,"11,296","0,04706666667","288,329","67,004","43,358"
,Appartment,0,75,"0,2",3,30+,1,Yes,59131,2,0,0,2,0,"1,8","1,5",2,1,0,1,0,"0,8889","10,001€ - 20,000€",Often or Always,Sometimes,Often or Always,Yes,Rarely,Rarely,22/10/2021,20/02/2022,121,8029,"66,3553719","0,884738292","919,025","0,375","0,097"
,Appartment,0,75,"0,2",3,30+,1,Yes,59131,2,0,0,2,0,"1,8","1,5",2,1,0,1,0,"0,8889","10,001€ - 20,000€",Often or Always,Sometimes,Often or Always,Yes,Rarely,Rarely,22/06/2021,21/10/2021,121,2060,"17,02479339","0,2269972452","44,829","513,404","394,777"
